Linux 6.8.0-87-generic (shreyash-ASUS-TUF-Gaming-F15-FX506HM-FX506HM) 	11/24/2025 	_x86_64_	(16 CPU)

07:24:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:23 AM   12    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:23 AM   13    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:23 AM   14    2.97    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   94.06
07:24:23 AM   15    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

07:24:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:24 AM  all    3.09    0.00    2.21    4.29    0.00    0.76    0.00    0.00    0.00   89.66
07:24:24 AM    0    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:24 AM    1    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:24 AM    2   20.00    0.00   11.00   66.00    0.00    3.00    0.00    0.00    0.00    0.00
07:24:24 AM    3    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:24 AM    4    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:24 AM    5    2.00    0.00    1.00    2.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:24 AM    6    1.01    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:24 AM    7    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:24:24 AM    8    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:24 AM    9    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:24 AM   10    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:24:24 AM   11    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:24 AM   12    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:24 AM   13    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:24 AM   14    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:24:24 AM   15    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96

07:24:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:25 AM  all    2.84    0.00    2.34    6.19    0.00    0.44    0.00    0.00    0.00   88.19
07:24:25 AM    0    2.02    0.00    1.01    2.02    0.00    1.01    0.00    0.00    0.00   93.94
07:24:25 AM    1    2.02    0.00    1.01    2.02    0.00    0.00    0.00    0.00    0.00   94.95
07:24:25 AM    2   17.17    0.00   15.15   66.67    0.00    1.01    0.00    0.00    0.00    0.00
07:24:25 AM    3    2.00    0.00    1.00    5.00    0.00    1.00    0.00    0.00    0.00   91.00
07:24:25 AM    4    1.02    0.00    1.02    5.10    0.00    0.00    0.00    0.00    0.00   92.86
07:24:25 AM    5    1.02    0.00    1.02    2.04    0.00    0.00    0.00    0.00    0.00   95.92
07:24:25 AM    6    2.02    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   95.96
07:24:25 AM    7    2.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   91.00
07:24:25 AM    8    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:25 AM    9    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
07:24:25 AM   10    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:25 AM   11    2.08    0.00    2.08    2.08    0.00    1.04    0.00    0.00    0.00   92.71
07:24:25 AM   12    1.01    0.00    3.03    5.05    0.00    0.00    0.00    0.00    0.00   90.91
07:24:25 AM   13    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:24:25 AM   14    2.02    0.00    1.01    2.02    0.00    0.00    0.00    0.00    0.00   94.95
07:24:25 AM   15    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

07:24:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:26 AM  all    3.48    0.00    2.40    4.24    0.00    0.82    0.00    0.00    0.00   89.06
07:24:26 AM    0    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:26 AM    1    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:26 AM    2   21.43    0.00   12.24   64.29    0.00    2.04    0.00    0.00    0.00    0.00
07:24:26 AM    3    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:26 AM    4    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:24:26 AM    5    3.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
07:24:26 AM    6    0.99    0.00    2.97    3.96    0.00    0.99    0.00    0.00    0.00   91.09
07:24:26 AM    7    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:24:26 AM    8    3.03    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   92.93
07:24:26 AM    9    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:26 AM   10    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:26 AM   11    2.04    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   94.90
07:24:26 AM   12    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:26 AM   13    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:26 AM   14    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:26 AM   15    1.03    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   96.91

07:24:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:27 AM  all    3.85    0.00    2.34    3.98    0.00    0.32    0.00    0.00    0.00   89.51
07:24:27 AM    0    2.02    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   93.94
07:24:27 AM    1    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:27 AM    2   24.24    0.00   11.11   63.64    0.00    1.01    0.00    0.00    0.00    0.00
07:24:27 AM    3    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:27 AM    4    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:27 AM    5    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:27 AM    6    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
